danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.54,0.178,7,-14.33,1,0.0308,0.921,0.377,0.106,0.145,139.941,audio_features,7K6LFPfjdnN6QqvGzhvpRO,spotify:track:7K6LFPfjdnN6QqvGzhvpRO,https://api.spotify.com/v1/tracks/7K6LFPfjdnN6QqvGzhvpRO,https://api.spotify.com/v1/audio-analysis/7K6LFPfjdnN6QqvGzhvpRO,198027,3,56
0.569,0.146,6,-12.568,1,0.046,0.905,0.00951,0.106,0.216,116.928,audio_features,4MEhUxj35YRT7mqMaJgcWB,spotify:track:4MEhUxj35YRT7mqMaJgcWB,https://api.spotify.com/v1/tracks/4MEhUxj35YRT7mqMaJgcWB,https://api.spotify.com/v1/audio-analysis/4MEhUxj35YRT7mqMaJgcWB,281180,3,56
0.619,0.454,0,-11.243,0,0.0301,0.718,0.0162,0.0774,0.695,104.329,audio_features,4Uc8xnNu2Mm1yObB0uxZI6,spotify:track:4Uc8xnNu2Mm1yObB0uxZI6,https://api.spotify.com/v1/tracks/4Uc8xnNu2Mm1yObB0uxZI6,https://api.spotify.com/v1/audio-analysis/4Uc8xnNu2Mm1yObB0uxZI6,173969,4,55
0.532,0.317,0,-10.693,1,0.0309,0.909,0.0277,0.11,0.28,140.671,audio_features,2Cyi6ezjKmGuXFrJglqQYl,spotify:track:2Cyi6ezjKmGuXFrJglqQYl,https://api.spotify.com/v1/tracks/2Cyi6ezjKmGuXFrJglqQYl,https://api.spotify.com/v1/audio-analysis/2Cyi6ezjKmGuXFrJglqQYl,193672,3,55
0.437,0.262,2,-13.024,1,0.0319,0.949,0.0401,0.0999,0.29,110.77,audio_features,0c1rlIZao3TFvRWKBig16H,spotify:track:0c1rlIZao3TFvRWKBig16H,https://api.spotify.com/v1/tracks/0c1rlIZao3TFvRWKBig16H,https://api.spotify.com/v1/audio-analysis/0c1rlIZao3TFvRWKBig16H,171577,4,54
0.484,0.149,0,-14.991,1,0.0372,0.987,0.00816,0.111,0.123,144.591,audio_features,6fWBQnyz8GrH0neN1IsBRc,spotify:track:6fWBQnyz8GrH0neN1IsBRc,https://api.spotify.com/v1/tracks/6fWBQnyz8GrH0neN1IsBRc,https://api.spotify.com/v1/audio-analysis/6fWBQnyz8GrH0neN1IsBRc,152960,4,54
0.579,0.171,11,-14.495,1,0.0303,0.901,0.000308,0.111,0.389,136.311,audio_features,6NTIKfyWCP3Nm2zWB16o88,spotify:track:6NTIKfyWCP3Nm2zWB16o88,https://api.spotify.com/v1/tracks/6NTIKfyWCP3Nm2zWB16o88,https://api.spotify.com/v1/audio-analysis/6NTIKfyWCP3Nm2zWB16o88,238560,4,54
0.616,0.638,7,-7.981,1,0.0334,0.0245,3.59e-05,0.296,0.507,89.989,audio_features,0YPX6ztcWM4QTbR9tpnHNB,spotify:track:0YPX6ztcWM4QTbR9tpnHNB,https://api.spotify.com/v1/tracks/0YPX6ztcWM4QTbR9tpnHNB,https://api.spotify.com/v1/audio-analysis/0YPX6ztcWM4QTbR9tpnHNB,257893,4,53
0.554,0.122,11,-12.692,1,0.0614,0.883,0.0,0.107,0.381,166.355,audio_features,2Dms8axOrrjXETwVwtvBF5,spotify:track:2Dms8axOrrjXETwVwtvBF5,https://api.spotify.com/v1/tracks/2Dms8axOrrjXETwVwtvBF5,https://api.spotify.com/v1/audio-analysis/2Dms8axOrrjXETwVwtvBF5,173427,4,53
0.644,0.337,7,-11.665,1,0.0478,0.856,0.0,0.0804,0.409,149.853,audio_features,13lJLkkTyqbiAZbEJ0aSBd,spotify:track:13lJLkkTyqbiAZbEJ0aSBd,https://api.spotify.com/v1/tracks/13lJLkkTyqbiAZbEJ0aSBd,https://api.spotify.com/v1/audio-analysis/13lJLkkTyqbiAZbEJ0aSBd,233085,4,53
